Text ID,Text,Sentences,Error Flag,Error Type,Error Sentence ID,Error Sentence,Corrected Sentence,Corrected Text
ms-val-144,"A 30-year-old woman comes to the physician because of difficulty sleeping. She is afraid of falling asleep and gets up earlier than desired. Four months ago, she was the driver in a car accident that resulted in the death of her unborn child. She has vivid nightmares of the event and reports that she frequently re-experiences the accident. She blames herself for the death of her child, has stopped working as an accountant, avoids driving in cars, and has withdrawn from her parents and close friends. Patient is experiencing normal grief.","0 A 30-year-old woman comes to the physician because of difficulty sleeping.
1 She is afraid of falling asleep and gets up earlier than desired.
2 Four months ago, she was the driver in a car accident that resulted in the death of her unborn child.
3 She has vivid nightmares of the event and reports that she frequently re-experiences the accident.
4 She blames herself for the death of her child, has stopped working as an accountant, avoids driving in cars, and has withdrawn from her parents and close friends.
5 Patient is experiencing normal grief.",1,diagnosis,5,Patient is experiencing normal grief.,Patient is experiencing a post-traumatic stress disorder.,"A 30-year-old woman comes to the physician because of difficulty sleeping. She is afraid of falling asleep and gets up earlier than desired. Four months ago, she was the driver in a car accident that resulted in the death of her unborn child. She has vivid nightmares of the event and reports that she frequently re-experiences the accident. She blames herself for the death of her child, has stopped working as an accountant, avoids driving in cars, and has withdrawn from her parents and close friends. Patient is experiencing a post-traumatic stress disorder."
ms-val-145,"A 30-year-old woman comes to the physician because of difficulty sleeping. She is afraid of falling asleep and gets up earlier than desired. Patient is experiencing post-traumatic stress disorder. As four months ago, she was the driver in a car accident that resulted in the death of her unborn child. She has vivid nightmares of the event and reports that she frequently re-experiences the accident. She blames herself for the death of her child, has stopped working as an accountant, avoids driving in cars, and has withdrawn from her parents and close friends. ","0 A 30-year-old woman comes to the physician because of difficulty sleeping.
1 She is afraid of falling asleep and gets up earlier than desired.
2 Patient is experiencing post-traumatic stress disorder.
3 As four months ago, she was the driver in a car accident that resulted in the death of her unborn child.
4 She has vivid nightmares of the event and reports that she frequently re-experiences the accident.
5 She blames herself for the death of her child, has stopped working as an accountant, avoids driving in cars, and has withdrawn from her parents and close friends.",0,NA,-1,NA,NA,NA
ms-val-146,"A 25-year-old woman comes to the physician for the evaluation of blindness in her right eye that suddenly started 1 hour ago. She has no feeling of pain, pressure, or sensation of a foreign body in the right eye. She has a history of major depressive disorder treated with fluoxetine. The patient attends college and states that she has had a lot of stress lately due to relationship problems with her partner. She does not smoke or drink alcohol. She does not use illicit drugs. She appears anxious. Her vital signs are within normal limits. Based on the following exam, the patient was diagnosed with somatic symptom disorder.  Ophthalmologic examination showed a normal-appearing eye with no redness. Slit lamp examination and fundoscopy showed no abnormalities. A visual field test showed nonspecific visual field defects. An MRI of the brain showed no abnormalities. ","0 A 25-year-old woman comes to the physician for the evaluation of blindness in her right eye that suddenly started 1 hour ago.
1 She has no feeling of pain, pressure, or sensation of a foreign body in the right eye.
2 She has a history of major depressive disorder treated with fluoxetine.
3 The patient attends college and states that she has had a lot of stress lately due to relationship problems with her partner.
4 She does not smoke or drink alcohol.
5 She does not use illicit drugs.
6 She appears anxious.
7 Her vital signs are within normal limits.
8 Based on the following exam, the patient was diagnosed with somatic symptom disorder.  
9 Ophthalmologic examination showed a normal-appearing eye with no redness.
10 Slit lamp examination and fundoscopy showed no abnormalities.
11 A visual field test showed nonspecific visual field defects.
12 An MRI of the brain showed no abnormalities.",1,diagnosis,8,"Based on the following exam, the patient was diagnosed with somatic symptom disorder.  ","Based on the following exam, the patient was diagnosed with conversion disorder.  ","A 25-year-old woman comes to the physician for the evaluation of blindness in her right eye that suddenly started 1 hour ago. She has no feeling of pain, pressure, or sensation of a foreign body in the right eye. She has a history of major depressive disorder treated with fluoxetine. The patient attends college and states that she has had a lot of stress lately due to relationship problems with her partner. She does not smoke or drink alcohol. She does not use illicit drugs. She appears anxious. Her vital signs are within normal limits. Based on the following exam, the patient was diagnosed with conversion disorder.  Ophthalmologic examination showed a normal-appearing eye with no redness. Slit lamp examination and fundoscopy showed no abnormalities. A visual field test showed nonspecific visual field defects. An MRI of the brain showed no abnormalities. "
ms-val-147,"A 25-year-old woman comes to the physician for the evaluation of blindness in her right eye that suddenly started 1 hour ago. She has no feeling of pain, pressure, or sensation of a foreign body in the right eye. She has a history of major depressive disorder treated with fluoxetine. The patient attends college and states that she has had a lot of stress lately due to relationship problems with her partner. She does not smoke or drink alcohol. She does not use illicit drugs. She appears anxious. Her vital signs are within normal limits. Ophthalmologic examination shows a normal-appearing eye with no redness. Slit lamp examination and fundoscopy show no abnormalities. A visual field test shows nonspecific visual field defects. An MRI of the brain shows no abnormalities. Patient was diagnosed with conversion disorder. ","0 A 25-year-old woman comes to the physician for the evaluation of blindness in her right eye that suddenly started 1 hour ago.
1 She has no feeling of pain, pressure, or sensation of a foreign body in the right eye.
2 She has a history of major depressive disorder treated with fluoxetine.
3 The patient attends college and states that she has had a lot of stress lately due to relationship problems with her partner.
4 She does not smoke or drink alcohol.
5 She does not use illicit drugs.
6 She appears anxious.
7 Her vital signs are within normal limits.
8 Ophthalmologic examination shows a normal-appearing eye with no redness.
9 Slit lamp examination and fundoscopy show no abnormalities.
10 A visual field test shows nonspecific visual field defects.
11 An MRI of the brain shows no abnormalities.
12 Patient was diagnosed with conversion disorder.",0,NA,-1,NA,NA,NA
ms-val-148,"A 2-year-old boy presents to the pediatrician for a well-child visit. The child has been doing well and this is his first visit to a pediatrician after being adopted. His parents state that he is doing well and wanted him to generally be checked out. His temperature is 97.0 F (36.1 C), blood pressure is 100/65 mm Hg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is notable for the finding in Figure A. Laboratory values are ordered as seen below.

Serum:
Ca2+: 9.1 mg/dL
Phosphorus: 1.1 mg/dL
Alkaline phosphatase: 462 U/L
Parathyroid hormone: 23 pg/mL (N = 10-55)
1,25-dihydroxyvitamin D: 22 pmol/L (N = 15-30)

Patient is diagnosed with vitamin D deficiency rickets.","0 A 2-year-old boy presents to the pediatrician for a well-child visit.
1 The child has been doing well and this is his first visit to a pediatrician after being adopted.
2 His parents state that he is doing well and wanted him to generally be checked out.
3 His temperature is 97.0 F (36.1 C), blood pressure is
4 100/65 mm
5 Hg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 98% on room air.
6 Physical exam is notable for the finding in Figure A. Laboratory values are ordered as seen below.


7 Serum:

8 Ca2
9 +
10 : 9.1 mg/dL

11 Phosphorus: 1.1 mg/dL

12 Alkaline phosphatase: 462
13 U/L
Parathyroid hormone: 23 pg/mL
14 (N = 10-55)

15 1,25-dihydroxyvitamin D: 22 pmol/L (N = 15-30)


16 Patient is diagnosed with vitamin D deficiency rickets.",1,diagnosis,16,Patient is diagnosed with vitamin D deficiency rickets.,Patient is diagnosed with vitamin D resistant rickets.,"A 2-year-old boy presents to the pediatrician for a well-child visit. The child has been doing well and this is his first visit to a pediatrician after being adopted. His parents state that he is doing well and wanted him to generally be checked out. His temperature is 97.0 F (36.1 C), blood pressure is 100/65 mm Hg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is notable for the finding in Figure A. Laboratory values are ordered as seen below.

Serum:
Ca2+: 9.1 mg/dL
Phosphorus: 1.1 mg/dL
Alkaline phosphatase: 462 U/L
Parathyroid hormone: 23 pg/mL (N = 10-55)
1,25-dihydroxyvitamin D: 22 pmol/L (N = 15-30)

Patient is diagnosed with vitamin D resistant rickets."
ms-val-149,"A 2-year-old boy presents to the pediatrician for a well-child visit. The child has been doing well and this is his first visit to a pediatrician after being adopted. His parents state that he is doing well and wanted him to generally be checked out. His temperature is 97.0 F (36.1 C), blood pressure is 100/65 mm Hg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is notable for the finding in Figure A. Patient is diagnosed with vitamin D resistant rickets after laboratory values are ordered as seen below.

Serum:
Ca2+: 9.1 mg/dL
Phosphorus: 1.1 mg/dL
Alkaline phosphatase: 462 U/L
Parathyroid hormone: 23 pg/mL (N = 10-55)
1,25-dihydroxyvitamin D: 22 pmol/L (N = 15-30)","0 A 2-year-old boy presents to the pediatrician for a well-child visit.
1 The child has been doing well and this is his first visit to a pediatrician after being adopted.
2 His parents state that he is doing well and wanted him to generally be checked out.
3 His temperature is 97.0 F (36.1 C), blood pressure is
4 100/65 mm
5 Hg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 98% on room air.
6 Physical exam is notable for the finding in Figure A. Patient is diagnosed with vitamin D resistant rickets after laboratory values are ordered as seen below.
7 Serum:
8 Ca2
9 +
10 : 9.1 mg/dL
11 Phosphorus: 1.1 mg/dL
12 Alkaline phosphatase: 462
13 U/L
Parathyroid hormone: 23 pg/mL
14 (N = 10-55)
15 1,25-dihydroxyvitamin D: 22 pmol/L (N = 15-30)",0,NA,-1,NA,NA,NA
ms-val-150,"A 24-year-old male graduate student comes to the physician for a two-month history of repeated thoughts and anxiety that he is going to be harmed by someone on the street. The anxiety worsened after witnessing a pedestrian getting hit by a car two weeks ago. He says, â€œThat was a warning sign.â€ On his way to school, he now often leaves an hour earlier to take a detour and hide from people that he thinks might hurt him. He is burdened by his coursework and fears that his professors are meaning to fail him. He says his friends are concerned about him but that they do not understand because they were not present at the accident. The patient has no known history of psychiatric illness. Suspected of generalized anxiety disorder. On mental status exam, he is alert and oriented, and shows full range of affect. Thought processes and speech are organized. His memory and attention are within normal limits. He denies auditory, visual, or tactile hallucinations. Urine toxicology screening is negative. ","0 A 24-year-old male graduate student comes to the physician for a two-month history of repeated thoughts and anxiety that he is going to be harmed by someone on the street.
1 The anxiety worsened after witnessing a pedestrian getting hit by a car two weeks ago.
2 He says, â€œThat was a warning sign.â€
3 On his way to school, he now often leaves an hour earlier to take a detour and hide from people that he thinks might hurt him.
4 He is burdened by his coursework and fears that his professors are meaning to fail him.
5 He says his friends are concerned about him but that they do not understand because they were not present at the accident.
6 The patient has no known history of psychiatric illness.
7 Suspected of generalized anxiety disorder.
8 On mental status exam, he is alert and oriented, and shows full range of affect.
9 Thought processes and speech are organized.
10 His memory and attention are within normal limits.
11 He denies auditory, visual, or tactile hallucinations.
12 Urine toxicology screening is negative.",1,diagnosis,7,Suspected of generalized anxiety disorder.,"Suspected of delusional disorder. 
","A 24-year-old male graduate student comes to the physician for a two-month history of repeated thoughts and anxiety that he is going to be harmed by someone on the street. The anxiety worsened after witnessing a pedestrian getting hit by a car two weeks ago. He says, â€œThat was a warning sign.â€ On his way to school, he now often leaves an hour earlier to take a detour and hide from people that he thinks might hurt him. He is burdened by his coursework and fears that his professors are meaning to fail him. He says his friends are concerned about him but that they do not understand because they were not present at the accident. The patient has no known history of psychiatric illness. Suspected of delusional disorder. 
On mental status exam, he is alert and oriented, and shows full range of affect. Thought processes and speech are organized. His memory and attention are within normal limits. He denies auditory, visual, or tactile hallucinations. Urine toxicology screening is negative. "
ms-val-151,"A 24-year-old male graduate student comes to the physician for a two-month history of repeated thoughts and anxiety that he is going to be harmed by someone on the street. The anxiety worsened after witnessing a pedestrian getting hit by a car two weeks ago. He says, â€œThat was a warning sign.â€ On his way to school, he now often leaves an hour earlier to take a detour and hide from people that he thinks might hurt him. He is burdened by his coursework and fears that his professors are meaning to fail him. He says his friends are concerned about him but that they do not understand because they were not present at the accident. The patient has no known history of psychiatric illness. On mental status exam, he is alert and oriented, and shows full range of affect. Thought processes and speech are organized. His memory and attention are within normal limits. He denies auditory, visual, or tactile hallucinations. Urine toxicology screening is negative. Diagnosis is delusional disorder. 

","0 A 24-year-old male graduate student comes to the physician for a two-month history of repeated thoughts and anxiety that he is going to be harmed by someone on the street.
1 The anxiety worsened after witnessing a pedestrian getting hit by a car two weeks ago.
2 He says, â€œThat was a warning sign.â€
3 On his way to school, he now often leaves an hour earlier to take a detour and hide from people that he thinks might hurt him.
4 He is burdened by his coursework and fears that his professors are meaning to fail him.
5 He says his friends are concerned about him but that they do not understand because they were not present at the accident.
6 The patient has no known history of psychiatric illness.
7 On mental status exam, he is alert and oriented, and shows full range of affect.
8 Thought processes and speech are organized.
9 His memory and attention are within normal limits.
10 He denies auditory, visual, or tactile hallucinations.
11 Urine toxicology screening is negative.
12 Diagnosis is delusional disorder.",0,NA,-1,NA,NA,NA
ms-val-152,"A 28-year-old woman is brought to the emergency department 30 minutes after being involved in a high-speed motor vehicle collision in which she was the unrestrained driver. On arrival, she is semiconscious and incoherent. She has shortness of breath and is cyanotic. Her pulse is 112/min, respirations are 59/min, and blood pressure is 128/89 mm Hg. Examination shows a 3-cm (1.2-in) laceration on the forehead and multiple abrasions over the thorax and abdomen. There is crepitation on palpation of the thorax on the right. Auscultation of the lung shows decreased breath sounds on the right side. A crunching sound synchronous with the heartbeat is heard best over the precordium. There is dullness on percussion of the right hemithorax. The lips and tongue have a bluish discoloration. There is an open femur fracture on the left. The remainder of the examination shows no abnormalities. Arterial blood gas analysis on room air shows:
pH 7.31
PCO2 55 mm Hg
PO2 42 mm Hg
HCO3- 22 mEq/L
O2 saturation 76%
The patient is intubated and mechanically ventilated. Infusion of 0.9% saline is begun. Diagnosis is tension pneumothorax. 
","0 A 28-year-old woman is brought to the emergency department 30 minutes after being involved in a high-speed motor vehicle collision in which she was the unrestrained driver.
1 On arrival, she is semiconscious and incoherent.
2 She has shortness of breath and is cyanotic.
3 Her pulse is 112/min, respirations are 59/min, and blood pressure is 128/89 mm
4 Hg.
5 Examination shows a 3-cm (1.2-in) laceration on the forehead and multiple abrasions over the thorax and abdomen.
6 There is crepitation on palpation of the thorax on the right.
7 Auscultation of the lung shows decreased breath sounds on the right side.
8 A crunching sound synchronous with the heartbeat is heard best over the precordium.
9 There is dullness on percussion of the right hemithorax.
10 The lips and tongue have a bluish discoloration.
11 There is an open femur fracture on the left.
12 The remainder of the examination shows no abnormalities.
13 Arterial blood gas analysis on room air shows:
pH 7.31
PCO2 55
14 mm
15 Hg

16 PO2
17 42 mm
18 Hg
HCO3- 22 mEq/
19 L
O2 saturation 76%

20 The patient is intubated and mechanically ventilated.
21 Infusion of 0.9% saline is begun.
22 Diagnosis is tension pneumothorax.",1,diagnosis,22,"Diagnosis is tension pneumothorax. 
","Diagnosis is bronchial rupture. 
","A 28-year-old woman is brought to the emergency department 30 minutes after being involved in a high-speed motor vehicle collision in which she was the unrestrained driver. On arrival, she is semiconscious and incoherent. She has shortness of breath and is cyanotic. Her pulse is 112/min, respirations are 59/min, and blood pressure is 128/89 mm Hg. Examination shows a 3-cm (1.2-in) laceration on the forehead and multiple abrasions over the thorax and abdomen. There is crepitation on palpation of the thorax on the right. Auscultation of the lung shows decreased breath sounds on the right side. A crunching sound synchronous with the heartbeat is heard best over the precordium. There is dullness on percussion of the right hemithorax. The lips and tongue have a bluish discoloration. There is an open femur fracture on the left. The remainder of the examination shows no abnormalities. Arterial blood gas analysis on room air shows:
pH 7.31
PCO2 55 mm Hg
PO2 42 mm Hg
HCO3- 22 mEq/L
O2 saturation 76%
The patient is intubated and mechanically ventilated. Infusion of 0.9% saline is begun. Diagnosis is bronchial rupture. 
"
ms-val-153,"A 28-year-old woman is brought to the emergency department 30 minutes after being involved in a high-speed motor vehicle collision in which she was the unrestrained driver. On arrival, she is semiconscious and incoherent. She has shortness of breath and is cyanotic. Her pulse is 112/min, respirations are 59/min, and blood pressure is 128/89 mm Hg. Examination shows a 3-cm (1.2-in) laceration on the forehead and multiple abrasions over the thorax and abdomen. There is crepitation on palpation of the thorax on the right. Auscultation of the lung shows decreased breath sounds on the right side. A crunching sound synchronous with the heartbeat is heard best over the precordium. There is dullness on percussion of the right hemithorax. The lips and tongue have a bluish discoloration. There is an open femur fracture on the left. Suspected of bronchial rupture. The remainder of the examination shows no abnormalities. Arterial blood gas analysis on room air shows:
pH 7.31
PCO2 55 mm Hg
PO2 42 mm Hg
HCO3- 22 mEq/L
O2 saturation 76%
The patient is intubated and mechanically ventilated. Infusion of 0.9% saline is begun. 
","0 A 28-year-old woman is brought to the emergency department 30 minutes after being involved in a high-speed motor vehicle collision in which she was the unrestrained driver.
1 On arrival, she is semiconscious and incoherent.
2 She has shortness of breath and is cyanotic.
3 Her pulse is 112/min, respirations are 59/min, and blood pressure is 128/89 mm
4 Hg.
5 Examination shows a 3-cm (1.2-in) laceration on the forehead and multiple abrasions over the thorax and abdomen.
6 There is crepitation on palpation of the thorax on the right.
7 Auscultation of the lung shows decreased breath sounds on the right side.
8 A crunching sound synchronous with the heartbeat is heard best over the precordium.
9 There is dullness on percussion of the right hemithorax.
10 The lips and tongue have a bluish discoloration.
11 There is an open femur fracture on the left.
12 Suspected of bronchial rupture.
13 The remainder of the examination shows no abnormalities.
14 Arterial blood gas analysis on room air shows:
pH 7.31
PCO2 55
15 mm
16 Hg
17 PO2
18 42 mm
19 Hg
HCO3- 22 mEq/
20 L
O2 saturation 76%
21 The patient is intubated and mechanically ventilated.
22 Infusion of 0.9% saline is begun.",0,NA,-1,NA,NA,NA
ms-val-154,"A 20-year-old woman is brought to the physician by her mother because she has been worried about her daughter's strange behavior for the past 2 years. She does not have any friends and spends most of her time alone in her room. She usually wears a long, black, hooded cloak. She is anxious at college because she is uncomfortable around other people, and her academic performance is poor. She collects rare crystals and says that they support her â€œsixth sense.â€ Suspected of schizoid personality disorder. Mental status examination shows slow, hesitant speech, and she avoids eye contact. ","0 A 20-year-old woman is brought to the physician by her mother because she has been worried about her daughter's strange behavior for the past 2 years.
1 She does not have any friends and spends most of her time alone in her room.
2 She usually wears a long, black, hooded cloak.
3 She is anxious at college because she is uncomfortable around other people, and her academic performance is poor.
4 She collects rare crystals and says that they support her â€œsixth sense.â€ Suspected of schizoid personality disorder.
5 Mental status examination shows slow, hesitant speech, and she avoids eye contact.",1,diagnosis,4,She collects rare crystals and says that they support her â€œsixth sense.â€ Suspected of schizoid personality disorder.,She collects rare crystals and says that they support her â€œsixth sense.â€ Suspected of schizotypal personality disorder.,"A 20-year-old woman is brought to the physician by her mother because she has been worried about her daughter's strange behavior for the past 2 years. She does not have any friends and spends most of her time alone in her room. She usually wears a long, black, hooded cloak. She is anxious at college because she is uncomfortable around other people, and her academic performance is poor. She collects rare crystals and says that they support her â€œsixth sense.â€ Suspected of schizotypal personality disorder. Mental status examination shows slow, hesitant speech, and she avoids eye contact. "
ms-val-155,"A 20-year-old woman is brought to the physician by her mother because she has been worried about her daughter's strange behavior for the past 2 years. She does not have any friends and spends most of her time alone in her room. She usually wears a long, black, hooded cloak. She is anxious at college because she is uncomfortable around other people, and her academic performance is poor. She collects rare crystals and says that they support her â€œsixth sense.â€ Mental status examination shows slow, hesitant speech, and she avoids eye contact. Suspected of schizotypal personality disorder. ","0 A 20-year-old woman is brought to the physician by her mother because she has been worried about her daughter's strange behavior for the past 2 years.
1 She does not have any friends and spends most of her time alone in her room.
2 She usually wears a long, black, hooded cloak.
3 She is anxious at college because she is uncomfortable around other people, and her academic performance is poor.
4 She collects rare crystals and says that they support her â€œsixth sense.â€ Mental status examination shows slow, hesitant speech, and she avoids eye contact.
5 Suspected of schizotypal personality disorder.",0,NA,-1,NA,NA,NA
ms-val-156,"A 13-year-old boy is brought to the physician by his mother because she is concerned about her son's behavior. She reports that he has been wearing her dresses at home and asks to be called Lilly. He also stopped going to swim class because he â€œdoesn't feel comfortable in swim trunks.â€ Since starting puberty about a year ago, he has not had any friends and the teachers report he is consistently being bullied at school. His academic performance has been poor for the last year even though he had maintained an A average the year before. The mother further reports that her son has had mainly female friends since preschool. She also mentions that as a child her son never enjoyed playing with typical boy toys like cars and instead preferred dressing up dolls. The patient was raised by his single mother from the age of 8 because his father left the family due to financial issues. He appears shy. Physical examination shows normal male external genitalia. There is scarce coarse, dark axillary and pubic hair. Upon questioning, the patient reports that he would rather be a girl. Patient was diagnosed with gender nonconformity.","0 A 13-year-old boy is brought to the physician by his mother because she is concerned about her son's behavior.
1 She reports that he has been wearing her dresses at home and asks to be called Lilly.
2 He also stopped going to swim class because he â€œdoesn't feel comfortable in swim trunks.â€ Since starting puberty about a year ago, he has not had any friends and the teachers report he is consistently being bullied at school.
3 His academic performance has been poor for the last year even though he had maintained an A average the year before.
4 The mother further reports that her son has had mainly female friends since preschool.
5 She also mentions that as a child her son never enjoyed playing with typical boy toys like cars and instead preferred dressing up dolls.
6 The patient was raised by his single mother from the age of 8 because his father left the family due to financial issues.
7 He appears shy.
8 Physical examination shows normal male external genitalia.
9 There is scarce coarse, dark axillary and pubic hair.
10 Upon questioning, the patient reports that he would rather be a girl.
11 Patient was diagnosed with gender nonconformity.",1,diagnosis,11,Patient was diagnosed with gender nonconformity.,Patient was diagnosed with gender dysphoria.,"A 13-year-old boy is brought to the physician by his mother because she is concerned about her son's behavior. She reports that he has been wearing her dresses at home and asks to be called Lilly. He also stopped going to swim class because he â€œdoesn't feel comfortable in swim trunks.â€ Since starting puberty about a year ago, he has not had any friends and the teachers report he is consistently being bullied at school. His academic performance has been poor for the last year even though he had maintained an A average the year before. The mother further reports that her son has had mainly female friends since preschool. She also mentions that as a child her son never enjoyed playing with typical boy toys like cars and instead preferred dressing up dolls. The patient was raised by his single mother from the age of 8 because his father left the family due to financial issues. He appears shy. Physical examination shows normal male external genitalia. There is scarce coarse, dark axillary and pubic hair. Upon questioning, the patient reports that he would rather be a girl. Patient was diagnosed with gender dysphoria."
ms-val-157,"A 32-year-old woman presents to her physician concerned about wet spots on the inside part of her dress shirts, which she thinks it may be coming from one of her breasts. She states that it is painless and that the discharge is usually blood-tinged. She denies any history of malignancy in her family and states that she has been having regular periods since they first started at age 13. She does not have any children. The patient has normal vitals and denies any cough, fever. The patient is diagnosed with fibrocystic changes of her breasts when upon exam, there are no palpable masses, and the patient does not have any erythema or induration. ","0 A 32-year-old woman presents to her physician concerned about wet spots on the inside part of her dress shirts, which she thinks it may be coming from one of her breasts.
1 She states that it is painless and that the discharge is usually blood-tinged.
2 She denies any history of malignancy in her family and states that she has been having regular periods since they first started at age 13.
3 She does not have any children.
4 The patient has normal vitals and denies any cough, fever.
5 The patient is diagnosed with fibrocystic changes of her breasts when upon exam, there are no palpable masses, and the patient does not have any erythema or induration.",1,diagnosis,5,"The patient is diagnosed with fibrocystic changes of her breasts when upon exam, there are no palpable masses, and the patient does not have any erythema or induration.","The patient is diagnosed with intraductal papilloma when upon exam, there are no palpable masses, and the patient does not have any erythema or induration.","A 32-year-old woman presents to her physician concerned about wet spots on the inside part of her dress shirts, which she thinks it may be coming from one of her breasts. She states that it is painless and that the discharge is usually blood-tinged. She denies any history of malignancy in her family and states that she has been having regular periods since they first started at age 13. She does not have any children. The patient has normal vitals and denies any cough, fever. The patient is diagnosed with intraductal papilloma when upon exam, there are no palpable masses, and the patient does not have any erythema or induration. "
ms-val-158,"A 32-year-old woman presents to her physician concerned about wet spots on the inside part of her dress shirts, which she thinks it may be coming from one of her breasts. She states that it is painless and that the discharge is usually blood-tinged. She denies any history of malignancy in her family and states that she has been having regular periods since they first started at age 13. She does not have any children. The patient has normal vitals and denies any cough, fever. On exam, there are no palpable masses, and the patient does not have any erythema or induration. The patient is diagnosed with intraductal papilloma.","0 A 32-year-old woman presents to her physician concerned about wet spots on the inside part of her dress shirts, which she thinks it may be coming from one of her breasts.
1 She states that it is painless and that the discharge is usually blood-tinged.
2 She denies any history of malignancy in her family and states that she has been having regular periods since they first started at age 13.
3 She does not have any children.
4 The patient has normal vitals and denies any cough, fever.
5 On exam, there are no palpable masses, and the patient does not have any erythema or induration.
6 The patient is diagnosed with intraductal papilloma.",0,NA,-1,NA,NA,NA
ms-val-159,A 58-year-old white man with hypertension and type 2 diabetes mellitus comes to the physician because of a 3-month history of a painless lesion on his lower lip. He has smoked one pack of cigarettes daily for 20 years. He has worked as a fruit picker for the past 25 years. His current medications include captopril and metformin. Examination of the oral cavity shows a single ulcer near the vermillion border. Patient is diagnosed with basal cell carcinoma.,"0 A 58-year-old white man with hypertension and type 2 diabetes mellitus comes to the physician because of a 3-month history of a painless lesion on his lower lip.
1 He has smoked one pack of cigarettes daily for 20 years.
2 He has worked as a fruit picker for the past 25 years.
3 His current medications include captopril and metformin.
4 Examination of the oral cavity shows a single ulcer near the vermillion border.
5 Patient is diagnosed with basal cell carcinoma.",1,diagnosis,5,Patient is diagnosed with basal cell carcinoma.,Patient is diagnosed with squamous cell carcinoma.,A 58-year-old white man with hypertension and type 2 diabetes mellitus comes to the physician because of a 3-month history of a painless lesion on his lower lip. He has smoked one pack of cigarettes daily for 20 years. He has worked as a fruit picker for the past 25 years. His current medications include captopril and metformin. Examination of the oral cavity shows a single ulcer near the vermillion border. Patient is diagnosed with squamous cell carcinoma.
ms-val-160,A 58-year-old white man with hypertension and type 2 diabetes mellitus comes to the physician because of a 3-month history of a painless lesion on his lower lip. He has smoked one pack of cigarettes daily for 20 years. He has worked as a fruit picker for the past 25 years. His current medications include captopril and metformin. Squamous cell carcinoma is diagnosed after examination of the oral cavity shows a single ulcer near the vermillion border. ,"0 A 58-year-old white man with hypertension and type 2 diabetes mellitus comes to the physician because of a 3-month history of a painless lesion on his lower lip.
1 He has smoked one pack of cigarettes daily for 20 years.
2 He has worked as a fruit picker for the past 25 years.
3 His current medications include captopril and metformin.
4 Squamous cell carcinoma is diagnosed after examination of the oral cavity shows a single ulcer near the vermillion border.",0,NA,-1,NA,NA,NA
ms-val-161,A 17-year-old rugby player limped into the emergency room and says he â€œrolled his ankleâ€ while running during a game. You conclude that the mechanism involved ankle plantar flexion and inversion. There is no medial or lateral malleolus point tenderness. Anterior drawer test of the ankle is positive. Suspected of CFL sprain. Talar tilt test is negative. ,"0 A 17-year-old rugby player limped into the emergency room and says he â€œrolled his ankleâ€ while running during a game.
1 You conclude that the mechanism involved ankle plantar flexion and inversion.
2 There is no medial or lateral malleolus point tenderness.
3 Anterior drawer test of the ankle is positive.
4 Suspected of CFL sprain.
5 Talar tilt test is negative.",1,diagnosis,4,Suspected of CFL sprain.,Suspected of ATFL sprain.,A 17-year-old rugby player limped into the emergency room and says he â€œrolled his ankleâ€ while running during a game. You conclude that the mechanism involved ankle plantar flexion and inversion. There is no medial or lateral malleolus point tenderness. Anterior drawer test of the ankle is positive. Suspected of ATFL sprain. Talar tilt test is negative. 
ms-val-162,A 17-year-old rugby player limped into the emergency room and says he â€œrolled his ankleâ€ while running during a game. You conclude that the mechanism involved ankle plantar flexion and inversion. There is no medial or lateral malleolus point tenderness. Anterior drawer test of the ankle is positive. Talar tilt test is negative. Suspected of ATFL sprain. ,"0 A 17-year-old rugby player limped into the emergency room and says he â€œrolled his ankleâ€ while running during a game.
1 You conclude that the mechanism involved ankle plantar flexion and inversion.
2 There is no medial or lateral malleolus point tenderness.
3 Anterior drawer test of the ankle is positive.
4 Talar tilt test is negative.
5 Suspected of ATFL sprain.",0,NA,-1,NA,NA,NA
